id ; iName ; eng ; jpn ; tchi ; schi ; kor ; fre ; ger ; spa ; ita ; dut ; rus ; color ; size ; 
004F ; FtrBabybed ; baby bed ; ベビーベッド ; 嬰兒床 ; 婴儿床 ; 아기 침대 ; lit bébé ; Babybett ; cuna ; lettino ; babybed ; кроватка ; Beige ; 1_0x1_0
038B ; FtrCleaner ; vacuum cleaner ; そうじき ; 吸塵器 ; 吸尘器 ; 청소기 ; aspirateur ; Staubsauger ; aspiradora ; aspirapolvere ; stofzuiger ; пылесос ; Red ; 1_0x1_0
038C ; FtrCleanerStick ; upright vacuum ; スティックそうじき ; 直立式吸塵器 ; 直立式吸尘器 ; 스틱 청소기 ; aspirateur balai ; Stabstaubsauger ; aspiradora vertical ; scopa elettrica ; steelstofzuiger ; вертикальный пылесос ; Gray ; 1_0x1_0
0390 ; FtrZeldaRupee ; rupee ; ルピー ; 盧比 ; 卢比 ; 루피 ; rubis ; Rubin ; rupia ; rupia ; rupee ; рупия ; Green ; 1_0x1_0
0391 ; FtrZeldaFairy ; fairy bottle ; ようせいのビン ; 妖精瓶子 ; 妖精瓶子 ; 요정의 병 ; flacon à fée ; Feenflasche ; botella con hada ; ampolla per fate ; feeënflesje ; бутылка феи ; White ; 1_0x1_0
0392 ; FtrZeldaGuardian ; Decayed Guardian ; くちたガーディアン ; 腐蝕守護者 ; 腐蚀守护者 ; 망가진 가디언 ; Gardien détérioré ; Wächter-Wrack ; guardián deteriorado ; guardiano deteriorato ; Vergane Wachter ; разбитый страж ; Brown ; 2_0x2_0
0393 ; FtrCuckooclock ; cuckoo clock ; はとどけい ; 布穀鳥鐘 ; 布谷鸟钟 ; 뻐꾸기 시계 ; horloge coucou ; Kuckucksuhr ; reloj de cuco ; orologio a cucù ; koekoeksklok ; часы с кукушкой ; Beige ; 1_0x1_5_Wall
0394 ; FtrZeldaGoddessstatue ; Goddess Statue ; めがみぞう ; 女神像 ; 女神像 ; 여신상 ; statue de la Déesse ; Statue der Göttin ; efigie de la Diosa ; statua della dea ; godinnenbeeld ; статуя Богини ; Gray ; 1_0x1_0
0395 ; FtrZeldaZonai ; Zonai authentication crest ; ゾナウのにんしょうもん ; 左納烏認證紋 ; 左纳乌认证纹 ; 조나우 인증 문양 ; symbole d'authentif. soneau ; Sonau-Symbol ; emblema activación zonnan ; emblema di attivazione ; Zonai-embleem ; эмблема активации зонаи ; Gray ; 2_0x1_0
0396 ; FtrCoffeecup ; coffee cup ; コーヒーカップ ; 咖啡杯 ; 咖啡杯 ; 커피 잔 ; tasse de café ; Kaffeetasse ; taza de café ; tazza di caffè ; kopje koffie ; чашка кофе ; White ; 1_0x1_0
0398 ; FtrCoffeemill ; coffee grinder ; コーヒーミル ; 咖啡磨豆機 ; 咖啡磨豆机 ; 커피밀 ; moulin à café ; Kaffeemühle ; molinillo de café ; macinino per caffè ; koffiemolen ; кофемолка ; Brown ; 1_0x1_0
0399 ; FtrZeldaMastersword ; Master Sword ; マスターソード ; 大師之劍 ; 大师之剑 ; 마스터 소드 ; épée de légende ; Master-Schwert ; Espada Maestra ; spada suprema ; Meesterzwaard ; Высший Меч ; Gray ; 1_0x1_0
039A ; FtrJuicecase ; stacked bottle crates ; つまれたボトルクレート ; 疊起來的飲料物流箱 ; 叠起来的饮料物流箱 ; 쌓인 병음료 박스 ; table casiers à bouteilles ; Getränkekistentisch ; pila de cajas de refresco ; pila di casse per bottiglie ; stapel frisdrankkratten ; стол из бутылочн. ящиков ; Yellow ; 1_0x1_0
039B ; FtrZeldaTriforce ; Triforce ; トライフォース ; 三角神力 ; 三角神力 ; 트라이포스 ; Triforce ; Triforce ; Trifuerza ; triforza ; Triforce ; Трифорс ; Yellow ; 1_0x1_0
039C ; FtrZeldaSilentprincess ; silent princess ; ひめしずか ; 寧靜公主 ; 宁静公主 ; 고요한 공주 ; princesse de la sérénité ; Prinzessinnen-Enzian ; princesa de la calma ; principessa serena ; stille prinses ; принцесса тишины ; Green ; 1_0x1_0
039D ; FtrZeldaHeart ; heart ; ハート ; 心心 ; 心心 ; 하트 ; cœur ; Herz ; corazón ; cuore ; hartje ; сердце ; Red ; 1_0x1_0
039E ; FtrZeldaHeartcase ; Heart Container ; ハートのうつわ ; 心之容器 ; 心之容器 ; 생명의 그릇 ; réceptacle de cœur ; Herzcontainer ; contenedor de corazón ; portacuore ; extra hartje ; капсула сердца ; Red ; 1_0x1_0
03A0 ; FtrPotrack ; pot rack ; キッチンつるし ; 廚房掛勾 ; 厨房挂钩 ; 주방 도구 걸이 ; porte-casseroles ; Küchenregal ; portacacerolas ; mensola da cucina ; keukenrek ; кухонная полка ; Brown ; 2_0x1_0_Wall
03A1 ; FtrAirconditioner ; air conditioner ; エアコン ; 空調 ; 空调 ; 에어컨 ; climatiseur ; Klimaanlage ; aire acondicionado ; condizionatore d'aria ; airconditioner ; кондиционер ; White ; 2_0x1_0_Wall
03A3 ; FtrCornucopia ; cornucopia ; ほうじょうのつの ; 豐饒之角 ; 丰饶之角 ; 풍요의 뿔 ; corne d'abondance ; Füllhorn ; cornucopia ; cornucopia ; hoorn des overvloeds ; рог изобилия ; Orange ; 2_0x1_0
03A9 ; FtrDarts ; dartboard ; ダーツボード ; 飛鏢靶 ; 飞镖靶 ; 다트 보드 ; jeu de fléchettes ; Dartautomat ; máquina de dardos ; bersaglio per freccette ; dartbord ; мишень для дартса ; Black ; 1_0x1_0
03AD ; FtrDJbooth ; DJ's turntable ; DJブース ; DJ台 ; DJ台 ; DJ 테이블 ; platine de DJ ; DJ-Set ; mesa de DJ ; console da DJ ; dj-set ; DJ-проигрыватель ; Black ; 2_0x1_0
03B3 ; FtrSplatoonSplashooter ; Splattershot ; スプラシューター ; 斯普拉射擊槍 ; 斯普拉射击枪 ; 스플랫 슈터 ; Liquidateur ; Kleckser ; lanzatintas ; splasher ; Superspetter ; каплестрел ; Yellow ; 1_0x1_0
03B4 ; FtrSplatoonSupersazae ; Super Sea Snail ; スーパーサザエ ; 超級蠑螺 ; 超级蝾螺 ; 슈퍼 소라 ; super coquillage ; Supermuschel ; supermolusco ; super mollusco ; superzeeslak ; круть-улитка ; Purple ; 1_0x1_0
03B5 ; FtrSplatoonGoldikura ; Golden Egg ; きんイクラ ; 金鮭魚卵 ; 金鲑鱼卵 ; 황금 연어알 ; œuf doré ; Gold-Fischei ; alevín dorado ; uovo d'oro ; gouden ei ; золотая икринка ; Yellow ; 1_0x1_0
03B6 ; FtrEffectorrack ; effects rack ; エフェクターラック ; 音效機櫃 ; 音效机柜 ; 이펙터 장비 ; sono ; Effekt-Rack ; cajón de efectos ; unità multieffetto ; mixer-versterker ; рэк для аппаратуры ; Black ; 1_0x1_0
03B7 ; FtrSplatoonMantaroBench ; Big Man bench ; マンタローなベンチ ; 鬼福長椅 ; 鬼福长椅 ; 만타로 벤치 ; banc Raimi ; Mantaro-Bank ; banco Rayan ; panca Mantaleo ; Ray-bank ; скамейка «Биг Ман» ; Gray ; 2_0x1_0
03B8 ; FtrSplatoonLocker ; Splatoon locker ; イカすロッカー ; 魷型置物櫃 ; 鱿型置物柜 ; 어메이징 캐비닛 ; casier Splatoon ; Splatoon-Spind ; taquilla de Splatoon ; armadietto Splatoon ; Splatoon-kluisje ; шкафчик Splatoon ; Gray ; 1_0x1_0
03BA ; FtrEspresso ; espresso maker ; エスプレッソマシン ; 義式咖啡機 ; 意式咖啡机 ; 에스프레소 머신 ; machine à café ; Espressomaschine ; máquina de café ; macchina del caffè ; espressoapparaat ; эспрессо-машина ; Gray ; 1_0x1_0
03BB ; FtrExit ; exit sign ; ひじょうぐち ; 緊急逃生出口 ; 紧急逃生出口 ; 비상구 ; panneau de sortie ; Notausgangsschild ; salida de emergencia ; segnale di uscita ; nooduitgangbord ; указатель выхода ; Green ; 1_0x0_5_Wall
03BC ; FtrSplatoonJukebox ; squid jukebox ; イカのジュークボックス ; 魷魚點唱機 ; 鱿鱼点唱机 ; 오징어 주크박스 ; juke-box calamar ; Tintenfisch-Jukebox ; gramola calamar ; jukebox tentacolare ; inktvis-jukebox ; кальмарный джук-бокс ; Colorful ; 1_0x1_0
03BD ; FtrExtractorfan ; ventilation fan ; かんきせん ; 換氣扇 ; 换气扇 ; 환풍기 ; aérateur ; Lüftungsventilator ; extractor ; ventola ; inbouwventilator ; вытяжной вентилятор ; White ; 1_0x1_0_Wall
03BE ; FtrSplatoonChariot ; Crab Tank ; カニタンク ; 螃蟹坦克 ; 螃蟹坦克 ; 크랩 탱크 ; crabe d'assaut ; Krabbenpanzer ; cangrejobot ; granchio armato ; Krabbentank ; кработанк ; Yellow ; 2_0x2_0
03BF ; FtrSplatoonFestivalsignboardRight ; Splatfest sign right panel ; フェスかんばん・みぎ ; 祭典招牌・右 ; 祭典招牌·右 ; 페스티벌 간판 오른쪽 ; panneau festival (droite) ; Splatfest-Schild (rechts) ; terminal de voto derecho ; terminal di voto destro ; Splatfest-bord (rechts) ; правый Сплатфест-экран ; Black ; 1_0x1_0
03C0 ; FtrSplatoonFestivalsignboardMiddle ; Splatfest sign center panel ; フェスかんばん・まんなか ; 祭典招牌・中 ; 祭典招牌·中 ; 페스티벌 간판 가운데 ; panneau festival (centre) ; Splatfest-Schild (Mitte) ; terminal de voto central ; terminal di voto centrale ; Splatfest-bord (midden) ; центр. Сплатфест-экран ; Black ; 1_0x1_0
03C1 ; FtrSplatoonFestivalsignboardLeft ; Splatfest sign left panel ; フェスかんばん・ひだり ; 祭典招牌・左 ; 祭典招牌·左 ; 페스티벌 간판 왼쪽 ; panneau festival (gauche) ; Splatfest-Schild (links) ; terminal de voto izquierdo ; terminal di voto sinistro ; Splatfest-bord (links) ; левый Сплатфест-экран ; Black ; 1_0x1_0
03C3 ; FtrFireplug ; fire hydrant ; しょうかせん ; 消防栓 ; 消防栓 ; 소화전 ; borne d'incendie ; Hydrant ; boca de incendios ; idrante ; brandkraan ; пожарный гидрант ; Red ; 1_0x1_0
03C7 ; FtrFlowerbed ; flower bed ; かだん ; 花圃 ; 花圃 ; 화단 ; parterre de fleurs ; Blumenbeet ; parterre ; aiuola ; bloembed ; цветочная грядка ; Brown ; 2_0x1_0
03C9 ; FtrFloormonitor ; floor monitor ; フロアモニター ; 舞台監聽喇叭 ; 舞台监听喇叭 ; 플로어 모니터 ; enceinte retour ; Bühnenmonitor ; monitor de escenario ; spia da palcoscenico ; podiummonitor ; сценический монитор ; Black ; 1_0x1_0
03CB ; FtrFoodmachine ; snack machine ; おかしのじはんき ; 甜點自動販賣機 ; 甜点自动贩卖机 ; 과자 자동판매기 ; distributeur en-cas ; Verkaufsautomat ; máquina expendedora ; distributore automatico ; snackautomaat ; торговый автомат ; Black ; 2_0x1_0
03CF ; FtrFruitbasket ; fruit basket ; フルーツバスケット ; 水果籃 ; 水果篮 ; 과일 바구니 ; panier de fruits ; Fruchtkorb ; cesta de frutas ; cestino di frutta ; fruitmand ; корзина с фруктами ; Colorful ; 1_0x1_0
03D2 ; FtrVideogameFamicon ; Famicom ; ファミリーコンピュータ ; Family Computer ; Family Computer ; Famicom ; Famicom ; Famicom ; Famicom ; Famicom ; Famicom ; Famicom ; Red ; 1_0x1_0
03D3 ; FtrVideogameNes ; NES ; NES ; NES ; NES ; NES ; NES ; NES ; NES ; NES ; NES ; NES ; White ; 1_0x1_0
03D4 ; FtrVideogameDisksystem ; Famicom Disk System ; ディスクシステム ; Disk System ; Disk System ; Famicom Disk System ; Famicom Disk System ; Famicom Disk System ; Famicom Disk System ; Famicom Disk System ; Famicom Disk System ; Famicom Disk System ; Red ; 1_0x1_0
03D5 ; FtrGo ; go board ; ごばん ; 圍棋桌 ; 围棋桌 ; 바둑판 ; table de go ; Go-Brett ; tablero de go ; tavola da go ; go-bord ; доска для го ; Orange ; 1_0x1_0
03D6 ; FtrVideogameSuperfamicon ; Super Famicom ; スーパーファミコン ; Super Famicom ; Super Famicom ; Super Famicom ; Super Famicom ; Super Famicom ; Super Famicom ; Super Famicom ; Super Famicom ; Super Famicom ; Gray ; 1_0x1_0
03D7 ; FtrVideogameSnintendoeu ; Super NES (PAL version) ; Super NES ; Super NES ; Super NES ; Super NES (PAL version) ; Super NES (version PAL) ; Super NES (PAL-Version) ; Super NES (versión PAL) ; Super NES (versione PAL) ; Super NES (PAL-versie) ; Super NES (версия PAL) ; Gray ; 1_0x1_0
03D8 ; FtrVideogameSnintendous ; Super NES (NTSC version) ; Super NES（US） ; Super NES（US） ; Super NES（US） ; Super NES (NTSC version) ; Super NES (version NTSC) ; Super NES (NTSC-Version) ; Super NES (versión NTSC) ; Super NES (versione NTSC) ; Super NES (NTSC-versie) ; Super NES (версия NTSC) ; Gray ; 1_0x1_0
03D9 ; FtrVideogameGameboy ; Game Boy ; ゲームボーイ ; Game Boy ; Game Boy ; Game Boy ; Game Boy ; Game Boy ; Game Boy ; Game Boy ; Game Boy ; Game Boy ; Gray ; 1_0x1_0
03DA ; FtrUltrahand ; Ultra Hand ; ウルトラハンド ; Ultra Hand ; Ultra Hand ; Ultra Hand ; Ultra Hand ; Ultra Hand ; Ultra Hand ; Ultra Hand ; Ultra Hand ; Ultra Hand ; Blue ; 1_0x1_0
03DB ; FtrHarp ; harp ; ハープ ; 豎琴 ; 竖琴 ; 하프 ; harpe ; Harfe ; arpa ; arpa ; harp ; арфа ; Brown ; 1_0x1_0
03DC ; FtrHinadolls ; hinaningyo ; ひなにんぎょう ; 女兒節娃娃 ; 女儿节娃娃 ; 인형 장식 ; hinaningyo ; Puppenset ; hinaningyo ; hinaningyo ; hinaningyo-poppen ; коллекция кукол ; Red ; 2_0x2_0
03DD ; FtrUltramachine ; Ultra Machine ; ウルトラマシン ; Ultra Machine ; Ultra Machine ; Ultra Machine ; Ultra Machine ; Ultra Machine ; Ultra Machine ; Ultra Machine ; Ultra Machine ; Ultra Machine ; Red ; 1_0x1_0
03DF ; FtrLovetester ; Love Tester ; ラブテスター ; Love Tester ; Love Tester ; Love Tester ; Love Tester ; Love Tester ; Love Tester ; Love Tester ; Love Tester ; Love Tester ; Black ; 1_0x1_0
03E2 ; FtrStuffedCat ; cat plushie ; ねこのぬいぐるみ ; 貓貓玩偶 ; 猫猫玩偶 ; 고양이 인형 ; peluche de chat ; Plüschkätzchen ; gatito de peluche ; gattino di peluche ; knuffelkat ; плюшевый котик ; Beige ; 1_0x1_0
03E5 ; FtrIncense ; incense burner ; おこう ; 線香盤 ; 线香盘 ; 향 ; porte-encens ; Räucherstäbchen-Set ; quemador de incienso ; brucia incensi ; wierookbrander ; курильница ; Black ; 1_0x1_0
03E6 ; FtrKitchenIsland ; kitchen island ; アイランドキッチン ; 島式廚房 ; 岛式厨房 ; 아일랜드 키친 ; îlot de cuisine ; Kücheninsel ; isla de cocina ; isola da cucina ; keukeneiland ; кухонный островок ; White ; 2_0x2_0
03EC ; FtrKadomatsu ; kadomatsu ; かどまつ ; 門松 ; 门松 ; 새해맞이 대나무 ; kadomatsu ; Kadomatsu ; kadomatsu ; kadomatsu ; bamboe-ornament ; кадомацу ; Green ; 1_0x1_0
03ED ; FtrKagamimochi ; kagamimochi ; かがみもち ; 鏡餅 ; 镜饼 ; 새해맞이 찰떡 ; kagamimochi ; Kagami-Mochi ; kagamimochi ; kagamimochi ; kagami-mochi ; кагами моти ; White ; 1_0x1_0
03F1 ; FtrKaraoke ; karaoke system ; カラオケセット ; 卡拉OK組合 ; 卡拉OK组合 ; 노래방 기계 ; équipement karaoké ; Karaoke-Set ; karaoke ; impianto per karaoke ; karaokemachine ; система караоке ; Black ; 1_0x1_0
03F7 ; FtrSplatoonSighterTarget ; squid bumper ; イカバンカー ; 魷魚造型氣球 ; 鱿鱼造型气球 ; 오징어 범퍼 ; obstacle gonflable ; Tintenfischdummy ; barricada calamar ; calabarriera ; inktvisbumper ; надувной осьморянин ; Yellow ; 1_0x1_0
03F8 ; FtrKoinobori ; carp banner ; こいのぼり ; 鯉魚旗 ; 鲤鱼旗 ; 잉어 깃발 ; bannière carpe ; Karpfenwimpel ; koinobori ; pennone koinobori ; karperwimpels ; вымпелы коинобори ; Colorful ; 3_0x1_0
03FA ; FtrIceBox ; ice pail ; アイスペール ; 冰桶 ; 冰桶 ; 얼음 통 ; seau à glace ; Eiskübel ; cubitera ; secchiello del ghiaccio ; ijsemmer ; ведерко со льдом ; Gray ; 1_0x1_0
03FB ; FtrFirstaidbox ; first-aid kit ; きゅうきゅうばこ ; 急救箱 ; 急救箱 ; 구급상자 ; trousse de soins ; Erste-Hilfe-Kasten ; botiquín ; kit di pronto soccorso ; EHBO-trommel ; аптечка ; Beige ; 1_0x1_0
03FF ; FtrFallenleaves ; pile of leaves ; おちば ; 落葉 ; 落叶 ; 낙엽 ; tas de feuilles ; Laubhaufen ; montón de hojas ; mucchio di foglie ; berg bladeren ; куча листьев ; Brown ; 1_5x1_5
0405 ; FtrScreenJapanLow ; low screen ; ひくいついたて ; 矮屏風 ; 矮屏风 ; 낮은 파티션 ; panneau bas ; Sichtschutz ; cubrechimeneas ; separé basso ; laag scherm ; низкая ширма ; Beige ; 1_0x0_5
0408 ; FtrMagazinerack ; magazine rack ; マガジンラック ; 雜誌架 ; 杂志架 ; 잡지 꽂이 ; porte-revues pliable ; Zeitschriftenablage ; revistero ; portariviste ; tijdschriftenrekje ; стоечка для журналов ; Beige ; 1_0x1_0
040B ; FtrWireMagazinerack ; tubular magazine rack ; ワイヤーなマガジンラック ; 鋼絲雜誌架 ; 钢丝杂志架 ; 와이어 잡지 꽂이 ; porte-revues tubulaire ; Alurohr-Zeitschriftenablage ; revistero tubular ; portariviste tubolare ; buizentijdschriftenrek ; журнал. стойка из трубок ; Gray ; 1_0x1_0
040D ; FtrJapanesemodernChairS ; artful chair ; わふうモダンなざいす ; 和風摩登和室椅 ; 现代和风和室椅 ; 동양풍 모던 좌식 의자 ; chaise intemporelle ; Zeitlosstuhl ; sillón de melamina ; sedia concettuale ; modieuze stoel ; утонченный стул ; Beige ; 1_0x1_0
0412 ; FtrMetronome ; metronome ; メトロノーム ; 節拍器 ; 节拍器 ; 메트로놈 ; métronome ; Taktmesser ; metrónomo ; metronomo ; metronoom ; метроном ; Red ; 1_0x1_0
0413 ; FtrMicrowave ; microwave ; でんしレンジ ; 微波爐 ; 微波炉 ; 전자레인지 ; micro-ondes ; Mikrowelle ; microondas ; forno a microonde ; magnetron ; печь СВЧ ; White ; 1_0x1_0
0415 ; FtrMikeBone ; silver mic ; ガイコツマイク ; 復古麥克風 ; 复古麦克风 ; 실버 마이크 ; microphone argenté ; Retro-Mikrofon ; micrófono vocal ; microfono ; zilveren microfoon ; серебряный микрофон ; Gray ; 1_0x1_0
041A ; FtrMixer ; mixer ; ミキサー ; 果汁機 ; 果汁机 ; 믹서 ; mixeur ; Mixer ; batidora de vaso ; frullatore ; blender ; блендер ; White ; 1_0x1_0
041B ; FtrDrinkingbird ; water bird ; みずのみドリ ; 飲水鳥 ; 饮水鸟 ; 물 먹는 새 ; oiseau buveur ; Trinkvogel ; pájaro balancín ; uccellino bevitore ; drinkvogel ; водяная птица ; Red ; 1_0x1_0
041E ; FtrMoon ; moon ; つき ; 月亮 ; 月亮 ; 달 ; lune ; Mond ; Luna ; luna ; maan ; луна ; Yellow ; 2_0x2_0
0422 ; FtrMusicstand ; music stand ; ふめんだい ; 樂譜架 ; 乐谱架 ; 보면대 ; pupitre à partition ; Notenständer ; atril para partituras ; leggìo per spartiti ; lessenaar ; пюпитр ; Brown ; 1_0x1_0
0430 ; FtrPartitionpole ; rope partition ; パーテーションポール ; 絨繩圍欄柱 ; 绒绳围栏柱 ; 파티션 폴 ; balisage à corde ; Absperrkordel ; cordón divisorio ; set di paline con cordone ; touwafscheiding ; заградительный канат ; Yellow ; 2_0x0_5
0435 ; FtrStreetlampSimple ; simple streetlamp ; シンプルながいとう ; 簡約路燈 ; 简约路灯 ; 심플 가로등 ; réverbère simple ; Einfachstraßenlaterne ; farola simple ; lampione semplice ; simpele straatlantaarn ; прост. уличный фонарь ; Gray ; 1_0x1_0
0436 ; FtrHotelMug ; hotel mug ; ホテルのマグカップ ; 旅館馬克杯 ; 旅馆马克杯 ; 호텔 머그컵 ; tasse d'hôtel ; Hoteltasse ; taza del hotel ; tazza dell'hotel ; hotelbeker ; отельная кружка ; Blue ; 1_0x1_0
0438 ; FtrHotelClockW ; hotel wall clock ; ホテルのかべかけどけい ; 旅館壁掛鐘 ; 旅馆壁挂钟 ; 호텔 벽걸이 시계 ; horloge murale d'hôtel ; Hotelwanduhr ; reloj de pared del hotel ; orologio dell'hotel ; hotelklok ; отельные настенные часы ; Blue ; 1_0x1_0_Wall
0439 ; FtrPianoUpright ; upright piano ; アップライトピアノ ; 直立式鋼琴 ; 直立式钢琴 ; 업라이트 피아노 ; piano droit ; Klavier ; piano de pared ; piano verticale ; piano ; пианино ; Black ; 2_0x1_0
043A ; FtrPicnicbasket ; picnic basket ; ピクニックバスケット ; 野餐籃 ; 野餐篮 ; 피크닉 가방 ; panier-repas ; Picknick-Korb ; cesta de pícnic ; cestino da picnic ; picknickmand ; корзинка для пикника ; Brown ; 1_0x1_0
043B ; FtrHotelPennant ; hotel pennant ; ホテルのペナント ; 旅館三角旗 ; 旅馆三角旗 ; 호텔 페넌트 ; fanion d'hôtel ; Hotelfahne ; banderín del hotel ; gagliardetto dell'hotel ; hotelvlag ; отельный флажок ; Red ; 2_0x1_0_Wall
